"hotel";"is_canceled";"lead_time";"arrival_date_year";"arrival_date_month";"arrival_date_day_of_month";"stays_in_weekend_nights";"stays_in_week_nights";"adults";"children";"babies";"meal";"country";"market_segment";"distribution_channel";"is_repeated_guest";"previous_cancellations";"previous_bookings_not_canceled";"reserved_room_type";"assigned_room_type";"booking_changes";"deposit_type";"agent";"company";"days_in_waiting_list";"customer_type";"adr";"required_car_parking_spaces";"total_of_special_requests";"reservation_status";"reservation_status_date"
"Resort Hotel";0;0;2015;"August";12;0;1;2;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"A";"A";0;"No Deposit";"";"";0;"Transient";192;0;1;"Check-Out";"2015-08-13"
"Resort Hotel";0;0;2015;"August";13;0;1;2;0;0;"BB";"FRA";"Online TA";"TA/TO";0;0;0;"A";"B";0;"No Deposit";"240";"";0;"Transient";172;0;1;"Check-Out";"2015-08-14"
"Resort Hotel";0;0;2015;"August";13;0;1;2;0;0;"BB";"GBR";"Online TA";"TA/TO";0;0;0;"G";"G";0;"No Deposit";"240";"";0;"Transient";252;1;2;"Check-Out";"2015-08-14"
"Resort Hotel";0;0;2015;"August";13;0;2;2;0;0;"BB";"IRL";"Online TA";"TA/TO";0;0;0;"D";"G";0;"No Deposit";"240";"";0;"Transient";192;0;0;"Check-Out";"2015-08-15"
"Resort Hotel";0;0;2015;"August";13;1;3;2;0;0;"BB";"FRA";"Direct";"Direct";0;0;0;"E";"E";0;"No Deposit";"";"";0;"Transient";197;0;0;"Check-Out";"2015-08-17"
"Resort Hotel";0;0;2015;"August";14;0;1;2;0;0;"BB";"CHN";"Online TA";"TA/TO";0;0;0;"D";"F";0;"No Deposit";"240";"";0;"Transient-Party";172;0;2;"Check-Out";"2015-08-15"
"Resort Hotel";0;0;2015;"August";14;0;1;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"D";1;"No Deposit";"";"";0;"Transient";173;0;0;"Check-Out";"2015-08-15"
"Resort Hotel";0;0;2015;"August";14;0;1;2;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"A";"E";0;"No Deposit";"240";"";0;"Transient";121;0;0;"Check-Out";"2015-08-15"
"Resort Hotel";0;0;2015;"August";14;0;1;2;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"D";"F";0;"No Deposit";"240";"";0;"Transient-Party";172;0;2;"Check-Out";"2015-08-15"
"Resort Hotel";0;0;2015;"August";14;0;1;2;2;0;"BB";"CHE";"Direct";"Direct";0;0;0;"G";"G";0;"No Deposit";"";"";0;"Transient";203;0;0;"Check-Out";"2015-08-15"
"Resort Hotel";0;0;2015;"August";14;1;2;3;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"A";"B";0;"No Deposit";"240";"";0;"Transient";179;0;2;"Check-Out";"2015-08-17"
"Resort Hotel";0;0;2015;"August";16;1;0;2;0;0;"BB";"GBR";"Online TA";"TA/TO";0;0;0;"A";"G";0;"No Deposit";"240";"";0;"Group";195;0;0;"Check-Out";"2015-08-17"
"Resort Hotel";0;0;2015;"August";17;1;0;2;0;0;"BB";"ESP";"Online TA";"TA/TO";0;0;0;"A";"C";0;"No Deposit";"240";"";0;"Transient";153;0;0;"Check-Out";"2015-08-18"
"Resort Hotel";0;0;2015;"August";17;1;0;2;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"A";"C";0;"No Deposit";"240";"";0;"Transient";153;0;2;"Check-Out";"2015-08-18"
"Resort Hotel";0;0;2015;"August";19;0;1;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"D";"E";0;"No Deposit";"250";"";0;"Transient";153;0;0;"Check-Out";"2015-08-20"
"Resort Hotel";0;0;2015;"August";19;0;1;2;0;1;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"A";"E";0;"No Deposit";"240";"";0;"Transient";165;0;3;"Check-Out";"2015-08-20"
"Resort Hotel";0;0;2015;"August";20;0;0;2;0;0;"BB";"PRT";"Offline TA/TO";"TA/TO";1;0;1;"D";"A";0;"No Deposit";"196";"";0;"Transient";0;0;0;"Check-Out";"2015-08-20"
"Resort Hotel";0;0;2015;"August";20;0;1;1;0;0;"BB";"USA";"Direct";"Direct";0;0;0;"G";"G";1;"No Deposit";"";"";0;"Transient";200;0;0;"Check-Out";"2015-08-21"
"Resort Hotel";0;0;2015;"August";22;0;1;2;1;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"C";0;"No Deposit";"";"";0;"Transient";172;0;0;"Check-Out";"2015-08-23"
"Resort Hotel";0;0;2015;"August";23;1;0;2;0;0;"BB";"FRA";"Direct";"Direct";0;0;0;"A";"D";0;"No Deposit";"";"";0;"Transient";153;0;0;"Check-Out";"2015-08-24"
"Resort Hotel";0;0;2015;"August";24;1;0;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"A";0;"No Deposit";"";"";0;"Transient";153;0;0;"Check-Out";"2015-08-25"
"Resort Hotel";0;0;2015;"August";24;1;0;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"F";0;"No Deposit";"";"";0;"Transient";153;0;0;"Check-Out";"2015-08-25"
"Resort Hotel";0;0;2015;"August";24;1;0;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"E";"E";0;"No Deposit";"";"";0;"Transient";173;0;0;"Check-Out";"2015-08-25"
"Resort Hotel";0;0;2015;"August";24;1;0;2;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"A";"A";0;"No Deposit";"240";"";0;"Transient";138;0;0;"Check-Out";"2015-08-25"
"Resort Hotel";0;0;2015;"August";24;1;0;2;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"A";"F";0;"No Deposit";"240";"";0;"Transient";153;0;0;"Check-Out";"2015-08-25"
"Resort Hotel";0;0;2015;"August";24;1;1;2;0;0;"BB";"FRA";"Direct";"Direct";0;0;0;"A";"A";0;"No Deposit";"";"";0;"Transient";106;0;0;"Check-Out";"2015-08-26"
"Resort Hotel";0;0;2015;"August";24;1;2;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"E";"D";1;"No Deposit";"";"";0;"Transient";153;0;0;"Check-Out";"2015-08-27"
"Resort Hotel";0;0;2015;"August";25;0;5;2;0;0;"HB";"PRT";"Direct";"Direct";0;0;0;"A";"E";0;"No Deposit";"250";"";0;"Transient";183;0;0;"Check-Out";"2015-08-30"
"Resort Hotel";0;0;2015;"August";26;0;1;1;0;0;"BB";"USA";"Online TA";"TA/TO";0;0;0;"A";"A";0;"No Deposit";"240";"";0;"Transient";153;0;0;"Check-Out";"2015-08-27"
"Resort Hotel";0;0;2015;"August";26;0;1;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"A";0;"No Deposit";"";"";0;"Transient";112;0;0;"Check-Out";"2015-08-27"
"Resort Hotel";0;0;2015;"August";26;0;1;2;2;0;"BB";"ESP";"Direct";"Direct";0;0;0;"G";"G";0;"No Deposit";"";"";0;"Transient";193;1;0;"Check-Out";"2015-08-27"
"Resort Hotel";0;0;2015;"August";27;0;0;3;0;0;"HB";"PRT";"Offline TA/TO";"TA/TO";1;0;0;"A";"I";0;"No Deposit";"181";"";0;"Transient";0;0;0;"Check-Out";"2015-08-27"
"Resort Hotel";0;0;2015;"August";28;0;1;2;0;0;"BB";"USA";"Offline TA/TO";"TA/TO";0;0;0;"A";"D";0;"No Deposit";"";"";0;"Transient";153;0;1;"Check-Out";"2015-08-29"
"Resort Hotel";0;0;2015;"August";28;0;1;2;2;0;"BB";"PRT";"Direct";"Direct";0;0;0;"C";"C";0;"No Deposit";"";"";0;"Transient";153;0;0;"Check-Out";"2015-08-29"
"Resort Hotel";0;0;2015;"August";28;0;2;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"H";"H";0;"No Deposit";"";"";0;"Transient";195;0;0;"Check-Out";"2015-08-30"
"Resort Hotel";0;0;2015;"August";29;0;1;2;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"E";"E";0;"No Deposit";"240";"";0;"Transient";164;0;1;"Check-Out";"2015-08-30"
"Resort Hotel";0;0;2015;"August";29;1;1;2;0;0;"BB";"ESP";"Online TA";"TA/TO";0;0;0;"A";"C";0;"No Deposit";"240";"";0;"Transient";134;0;1;"Check-Out";"2015-08-31"
"Resort Hotel";0;0;2015;"August";29;1;1;2;0;0;"BB";"ITA";"Online TA";"TA/TO";0;0;0;"A";"E";0;"No Deposit";"240";"";0;"Transient";121;0;1;"Check-Out";"2015-08-31"
"Resort Hotel";0;0;2015;"August";30;1;0;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"A";0;"No Deposit";"";"51";0;"Transient";121;0;0;"Check-Out";"2015-08-31"
"Resort Hotel";0;0;2015;"August";30;1;0;2;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"A";"A";0;"No Deposit";"240";"";0;"Group";121;0;0;"Check-Out";"2015-08-31"
"Resort Hotel";0;0;2015;"August";30;1;0;3;0;0;"BB";"FRA";"Direct";"Direct";0;0;0;"A";"A";0;"No Deposit";"";"";0;"Transient";183;1;0;"Check-Out";"2015-08-31"
"Resort Hotel";0;0;2015;"August";30;2;0;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"A";1;"No Deposit";"";"";0;"Transient";123;1;0;"Check-Out";"2015-09-01"
"Resort Hotel";0;0;2015;"August";31;1;0;2;0;0;"BB";"SWE";"Online TA";"TA/TO";0;0;0;"A";"A";0;"No Deposit";"241";"";0;"Transient";93;0;1;"Check-Out";"2015-09-01"
"Resort Hotel";0;0;2015;"December";1;0;1;1;0;0;"BB";"PRT";"Corporate";"Corporate";0;0;0;"A";"A";0;"No Deposit";"";"";0;"Transient";38;1;1;"Check-Out";"2015-12-02"
"Resort Hotel";0;0;2015;"December";1;0;1;1;0;0;"BB";"PRT";"Corporate";"Corporate";0;0;0;"A";"D";0;"No Deposit";"";"";0;"Transient";38;0;1;"Check-Out";"2015-12-02"
"Resort Hotel";0;0;2015;"December";1;0;1;1;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"A";0;"No Deposit";"";"";0;"Transient";38;0;0;"Check-Out";"2015-12-02"
"Resort Hotel";0;0;2015;"December";1;0;1;1;0;0;"BB";"RUS";"Direct";"Direct";1;0;0;"A";"A";1;"No Deposit";"";"";0;"Transient";38;0;2;"Check-Out";"2015-12-02"
"Resort Hotel";0;0;2015;"December";1;0;1;1;0;0;"HB";"PRT";"Complementary";"Direct";1;0;1;"A";"D";1;"No Deposit";"";"";0;"Transient";0;1;0;"Check-Out";"2015-12-02"
"Resort Hotel";0;0;2015;"December";1;0;1;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"E";0;"No Deposit";"";"";0;"Transient";64;1;0;"Check-Out";"2015-12-02"
"Resort Hotel";0;0;2015;"December";1;0;2;1;0;0;"BB";"";"Corporate";"Direct";0;0;1;"A";"A";0;"No Deposit";"";"";0;"Transient";35;0;0;"Check-Out";"2015-12-03"
"Resort Hotel";0;0;2015;"December";1;0;2;1;0;0;"BB";"GBR";"Direct";"Direct";1;0;0;"A";"A";1;"No Deposit";"";"";0;"Transient";38;0;0;"Check-Out";"2015-12-03"
"Resort Hotel";0;0;2015;"December";1;0;2;2;0;0;"BB";"ESP";"Online TA";"TA/TO";0;0;0;"D";"D";0;"No Deposit";"240";"";0;"Transient";48;0;1;"Check-Out";"2015-12-03"
"Resort Hotel";0;0;2015;"December";1;0;2;2;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"A";"A";0;"No Deposit";"240";"";0;"Transient";48;0;0;"Check-Out";"2015-12-03"
"Resort Hotel";0;0;2015;"December";1;0;3;1;0;0;"BB";"ESP";"Offline TA/TO";"TA/TO";0;0;0;"F";"F";0;"No Deposit";"";"";0;"Transient";85;1;0;"Check-Out";"2015-12-04"
"Resort Hotel";0;0;2015;"December";2;0;1;1;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"D";1;"No Deposit";"";"";0;"Transient";38;1;0;"Check-Out";"2015-12-03"
"Resort Hotel";0;0;2015;"December";2;0;1;1;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"G";0;"No Deposit";"";"";0;"Transient";38;0;0;"Check-Out";"2015-12-03"
"Resort Hotel";0;0;2015;"December";2;0;1;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"A";0;"No Deposit";"";"";0;"Transient";43;0;1;"Check-Out";"2015-12-03"
"Resort Hotel";0;0;2015;"December";2;0;1;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"D";1;"No Deposit";"";"";0;"Transient";38;0;0;"Check-Out";"2015-12-03"
"Resort Hotel";0;0;2015;"December";2;0;1;2;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"D";"D";0;"No Deposit";"240";"";0;"Transient";48;0;1;"Check-Out";"2015-12-03"
"Resort Hotel";0;0;2015;"December";2;0;3;1;0;0;"BB";"FIN";"Direct";"Direct";0;0;0;"A";"A";0;"No Deposit";"";"";0;"Transient";38;0;0;"Check-Out";"2015-12-05"
"Resort Hotel";0;0;2015;"December";3;0;1;1;0;0;"BB";"";"Direct";"Direct";0;0;0;"A";"A";0;"No Deposit";"";"";0;"Transient";38;0;0;"Check-Out";"2015-12-04"
"Resort Hotel";0;0;2015;"December";3;0;1;1;0;0;"BB";"DEU";"Direct";"Direct";0;0;0;"E";"E";0;"No Deposit";"";"";0;"Transient";38;0;0;"Check-Out";"2015-12-04"
"Resort Hotel";0;0;2015;"December";3;0;1;1;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"D";0;"No Deposit";"";"";0;"Transient";38;0;0;"Check-Out";"2015-12-04"
"Resort Hotel";0;0;2015;"December";3;0;1;1;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"E";0;"No Deposit";"";"";0;"Transient";48;0;2;"Check-Out";"2015-12-04"
"Resort Hotel";0;0;2015;"December";3;0;1;1;0;0;"BB";"PRT";"Direct";"Direct";1;0;2;"A";"E";0;"No Deposit";"";"";0;"Transient";38;1;0;"Check-Out";"2015-12-04"
"Resort Hotel";0;0;2015;"December";3;0;1;1;0;0;"BB";"PRT";"Offline TA/TO";"TA/TO";0;0;0;"A";"D";0;"No Deposit";"146";"";0;"Transient";25;0;0;"Check-Out";"2015-12-04"
"Resort Hotel";0;0;2015;"December";3;0;1;2;0;0;"BB";"";"Direct";"Direct";0;0;0;"E";"E";0;"No Deposit";"";"";0;"Transient";58;0;0;"Check-Out";"2015-12-04"
"Resort Hotel";0;0;2015;"December";3;0;1;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"D";0;"No Deposit";"";"";0;"Transient";43;0;1;"Check-Out";"2015-12-04"
"Resort Hotel";0;0;2015;"December";3;0;1;2;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"D";"E";0;"No Deposit";"240";"";0;"Transient";48;0;1;"Check-Out";"2015-12-04"
"Resort Hotel";0;0;2015;"December";3;1;3;2;0;0;"BB";"DEU";"Online TA";"TA/TO";0;0;0;"D";"D";0;"No Deposit";"240";"";0;"Transient";46;0;1;"Check-Out";"2015-12-07"
"Resort Hotel";0;0;2015;"December";4;0;1;2;0;0;"BB";"ESP";"Direct";"Direct";0;0;0;"D";"D";0;"No Deposit";"";"";0;"Transient";51;0;1;"Check-Out";"2015-12-05"
"Resort Hotel";0;0;2015;"December";4;0;1;2;0;0;"BB";"ESP";"Direct";"Direct";0;0;0;"D";"D";0;"No Deposit";"";"";0;"Transient";51;1;1;"Check-Out";"2015-12-05"
"Resort Hotel";0;0;2015;"December";4;0;2;1;0;0;"BB";"DEU";"Direct";"Direct";0;0;0;"A";"D";0;"No Deposit";"";"";0;"Transient";38;0;0;"Check-Out";"2015-12-06"
"Resort Hotel";0;0;2015;"December";4;1;2;2;0;0;"BB";"ESP";"Online TA";"TA/TO";0;0;0;"D";"D";0;"No Deposit";"240";"";0;"Transient";49;0;3;"Check-Out";"2015-12-07"
"Resort Hotel";0;0;2015;"December";5;0;1;2;0;0;"BB";"ESP";"Direct";"Direct";0;0;0;"E";"E";0;"No Deposit";"";"";0;"Transient";61;0;0;"Check-Out";"2015-12-06"
"Resort Hotel";0;0;2015;"December";5;0;1;2;0;0;"BB";"GBR";"Direct";"Direct";0;0;0;"E";"E";0;"No Deposit";"";"";0;"Transient";68;1;0;"Check-Out";"2015-12-06"
"Resort Hotel";0;0;2015;"December";5;1;1;2;2;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"G";"G";0;"No Deposit";"240";"";0;"Transient";104;1;0;"Check-Out";"2015-12-07"
"Resort Hotel";0;0;2015;"December";5;2;1;2;0;0;"BB";"ESP";"Offline TA/TO";"TA/TO";0;0;0;"A";"A";0;"No Deposit";"348";"";0;"Transient-Party";52;0;0;"Check-Out";"2015-12-08"
"Resort Hotel";0;0;2015;"December";5;2;1;2;0;0;"BB";"ESP";"Online TA";"TA/TO";0;0;0;"A";"E";0;"No Deposit";"240";"";0;"Transient";56;1;0;"Check-Out";"2015-12-08"
"Resort Hotel";0;0;2015;"December";5;2;1;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"A";1;"No Deposit";"";"";0;"Transient";48;0;0;"Check-Out";"2015-12-08"
"Resort Hotel";0;0;2015;"December";5;2;1;2;1;0;"BB";"ESP";"Online TA";"TA/TO";0;0;0;"G";"G";0;"No Deposit";"242";"";0;"Transient";99;1;0;"Check-Out";"2015-12-08"
"Resort Hotel";0;0;2015;"December";6;1;0;1;0;0;"BB";"";"Direct";"Direct";0;0;2;"A";"E";0;"No Deposit";"";"";0;"Transient";53;0;0;"Check-Out";"2015-12-07"
"Resort Hotel";0;0;2015;"December";6;1;0;2;0;0;"BB";"ESP";"Direct";"Direct";0;0;0;"E";"E";0;"No Deposit";"";"";0;"Transient";68;0;0;"Check-Out";"2015-12-07"
"Resort Hotel";0;0;2015;"December";6;1;0;2;0;0;"BB";"ESP";"Online TA";"TA/TO";0;0;0;"D";"E";0;"No Deposit";"240";"";0;"Transient";68;0;1;"Check-Out";"2015-12-07"
"Resort Hotel";0;0;2015;"December";6;1;0;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"E";"E";0;"No Deposit";"";"";0;"Transient";68;0;0;"Check-Out";"2015-12-07"
"Resort Hotel";0;0;2015;"December";6;2;0;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"G";"G";0;"No Deposit";"";"";0;"Transient";100;0;0;"Check-Out";"2015-12-08"
"Resort Hotel";0;0;2015;"December";6;2;1;2;0;0;"BB";"CHE";"Direct";"Direct";0;0;0;"E";"E";1;"No Deposit";"";"";0;"Transient";68;0;0;"Check-Out";"2015-12-09"
"Resort Hotel";0;0;2015;"December";7;1;0;1;0;0;"BB";"PRT";"Offline TA/TO";"TA/TO";0;0;0;"A";"A";0;"No Deposit";"3";"";0;"Transient";25;0;0;"Check-Out";"2015-12-08"
"Resort Hotel";0;0;2015;"December";7;1;0;2;0;0;"BB";"JPN";"Online TA";"TA/TO";0;0;0;"G";"G";0;"No Deposit";"241";"";0;"Transient";75;1;2;"Check-Out";"2015-12-08"
"Resort Hotel";0;0;2015;"December";7;1;0;2;0;0;"BB";"PRT";"Offline TA/TO";"TA/TO";0;0;0;"A";"A";0;"No Deposit";"314";"";0;"Transient-Party";38;0;0;"Check-Out";"2015-12-08"
"Resort Hotel";0;0;2015;"December";8;0;1;2;0;0;"BB";"JPN";"Online TA";"TA/TO";1;0;0;"G";"G";0;"No Deposit";"241";"";0;"Transient";72;1;2;"Check-Out";"2015-12-09"
"Resort Hotel";0;0;2015;"December";8;0;1;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"D";"D";0;"No Deposit";"";"";0;"Transient";48;0;0;"Check-Out";"2015-12-09"
"Resort Hotel";0;0;2015;"December";8;0;4;1;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"D";"E";0;"No Deposit";"";"240";0;"Transient";48;0;0;"Check-Out";"2015-12-12"
"Resort Hotel";0;0;2015;"December";9;0;1;1;0;0;"BB";"";"Corporate";"Corporate";0;0;0;"A";"D";0;"No Deposit";"";"";0;"Transient";38;1;0;"Check-Out";"2015-12-10"
"Resort Hotel";0;0;2015;"December";9;0;1;1;0;0;"BB";"PRT";"Corporate";"Corporate";0;0;0;"A";"A";0;"No Deposit";"";"118";0;"Transient";35;0;0;"Check-Out";"2015-12-10"
"Resort Hotel";0;0;2015;"December";9;0;1;1;0;0;"BB";"PRT";"Direct";"Direct";1;0;1;"A";"A";0;"No Deposit";"";"";0;"Transient";38;0;0;"Check-Out";"2015-12-10"
"Resort Hotel";0;0;2015;"December";9;0;1;1;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"A";"A";0;"No Deposit";"240";"";0;"Transient";40;0;0;"Check-Out";"2015-12-10"
"Resort Hotel";0;0;2015;"December";9;0;1;1;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"A";"D";0;"No Deposit";"";"";0;"Transient";40;0;0;"Check-Out";"2015-12-10"
"Resort Hotel";0;0;2015;"December";9;0;1;1;0;0;"BB";"PRT";"Online TA";"TA/TO";1;0;1;"D";"D";0;"No Deposit";"240";"";0;"Transient";40;0;0;"Check-Out";"2015-12-10"
"Resort Hotel";0;0;2015;"December";9;0;1;2;0;0;"BB";"BEL";"Direct";"Direct";0;0;0;"D";"D";0;"No Deposit";"";"";0;"Transient";43;0;0;"Check-Out";"2015-12-10"
"Resort Hotel";0;0;2015;"December";9;0;1;2;0;0;"BB";"PRT";"Corporate";"Corporate";0;0;0;"A";"D";0;"No Deposit";"";"";0;"Transient";43;1;1;"Check-Out";"2015-12-10"
